ordered_trip_id,random_group,original_giro_duty
63,1,13409
569,1,13303
801,1,13312
545,1,13312
336,1,13313
196,1,13409
338,1,13318
323,1,13311
546,1,13303
40,1,13404
759,1,13303
352,1,13318
101,1,13403
787,1,13312
102,1,13409
94,1,13404
357,1,13312
142,1,13403
468,1,13312
382,1,13319
422,1,13312
435,1,13311
599,1,13326
227,1,13310
674,1,13313
844,1,13313
171,1,13409
673,1,13318
427,1,13311
351,1,13313
66,1,13404
353,1,13318
840,1,13313
939,1,13313
413,1,13312
170,1,13403
487,1,13319
711,2,13303
755,2,13319
383,2,13310
757,2,13319
572,2,13303
647,2,13319
726,2,13303
431,2,13312
872,2,13303
373,2,13311
270,2,13310
644,2,13319
380,2,13311
910,2,13310
2,2,13403
588,2,13326
12,2,13404
401,2,13312
893,2,13319
829,2,13318
146,2,13402
77,2,13402
943,2,13303
508,2,13303
115,3,13409
528,3,13310
228,3,13313
43,3,13403
161,3,13404
968,3,13318
177,3,13402
537,3,13312
180,3,13409
746,3,13303
86,3,13413
11,4,13409
512,4,13303
556,4,13319
664,4,13313
128,4,13409
814,4,13312
931,4,13318
654,4,13318
440,4,13324muw
971,4,13318
356,4,13318
624,4,13318
286,4,13324muw
249,4,13324muw
307,4,13303
394,5,13312
439,5,13312
330,5,13311
898,5,13319
391,5,13312
541,5,13312
551,5,13303
481,5,13312
191,5,13402
627,5,13318
724,5,13318
153,5,13413
297,5,13313
531,5,13326
30,5,13403
238,5,13324muw
367,5,13303
103,6,13402
559,6,13312
670,6,13318
90,6,13402
421,6,13326
969,6,13318
376,6,13310
873,6,13303
322,6,13318
492,6,13311
879,6,13319
729,6,13310
562,6,13312
266,6,13310
371,6,13303
902,6,13303
213,6,13326
24,6,13409
892,6,13310
791,6,13312
107,6,13404
509,6,13324muw
527,6,13303
334,6,13318
917,6,13310
120,6,13404
765,6,13312
311,6,13318
773,6,13312
788,6,13318
970,6,13318
700,6,13303
920,6,13326
164,6,13413
214,6,13319
247,6,13303
89,6,13409
310,6,13303
183,6,13404
273,6,13310
544,6,13312
554,6,13303
807,6,13313
253,6,13313
753,6,13303
710,6,13303
702,7,13303
20,7,13408
830,7,13312
341,7,13313
219,7,13319
463,7,13319
184,7,13402
38,7,13402
552,7,13312
233,7,13312
540,7,13312
458,7,13313
71,7,13413
305,7,13318
513,7,13324muw
400,7,13313
74,7,13408
985,7,13312
37,7,13409
526,7,13303
244,7,13313
863,7,13312
354,7,13313
797,7,13310
10,7,13403
118,7,13402
461,7,13313
127,8,13403
260,8,13313
114,8,13403
140,8,13413
560,8,13303
717,8,13303
155,8,13403
634,8,13310
539,8,13303
232,8,13318
277,8,13313
416,8,13312
390,8,13310
387,8,13310
715,8,13313
812,8,13310
3,8,13404
174,9,13404
79,9,13404
209,9,13326
397,9,13313
168,9,13402
747,9,13303
45,9,13413
490,9,13312
189,9,13413
17,9,13402
602,9,13326
478,9,13312
235,9,13313
88,9,13403
782,9,13319
61,9,13408
76,9,13409
524,10,13313
822,10,13326
703,10,13303
883,10,13303
428,10,13324muw
75,10,13403
7,10,13402
887,10,13311
489,10,13311
298,10,13324muw
758,10,13303
790,10,13312
761,10,13303
261,10,13310
890,11,13311
201,11,13409
479,11,13319
819,11,13326
706,11,13324muw
99,11,13413
50,11,13409
467,11,13319
312,11,13326
728,11,13310
1,11,13402
745,11,13303
756,11,13319
455,11,13311
162,11,13409
230,11,13310
984,11,13312
283,11,13313
811,11,13312
520,11,13303
935,11,13313
677,12,13313
419,12,13312
530,12,13303
407,12,13324muw
179,12,13403
476,12,13319
314,12,13311
32,12,13413
268,12,13326
784,12,13318
159,12,13402
505,12,13324muw
881,12,13310
121,12,13408
708,12,13324muw
411,12,13324muw
701,12,13303
329,13,13319
744,13,13303
871,13,13303
131,13,13402
818,13,13326
837,13,13313
112,13,13413
346,13,13313
207,13,13311
523,13,13303
591,13,13326
557,13,13303
173,13,13413
484,13,13319
927,13,13318
231,13,13313
891,13,13318
549,13,13312
727,13,13303
940,13,13303
486,13,13318
480,13,13319
454,13,13313
64,13,13402
8,13,13408
187,13,13409
832,13,13318
188,13,13404
135,13,13408
263,13,13326
424,13,13326
827,13,13312
108,13,13408
752,14,13303
19,14,13413
149,14,13408
637,14,13310
766,14,13303
347,14,13318
256,14,13313
764,14,13312
62,14,13403
133,14,13404
141,14,13409
377,14,13312
783,14,13318
899,14,13303
548,15,13312
58,15,13413
804,15,13312
517,15,13324muw
321,15,13319
595,15,13326
404,15,13312
25,15,13404
464,15,13319
53,15,13404
87,15,13408
33,15,13408
220,15,13310
596,15,13324muw
874,15,13303
375,15,13303
789,15,13318
592,15,13324muw
211,15,13324muw
51,15,13402
605,15,13326
148,15,13404
516,15,13303
714,15,13313
525,15,13310
921,15,13326
521,15,13313
553,15,13319
841,15,13313
725,15,13318
332,15,13319
542,15,13303
195,15,13404
308,15,13311
302,15,13313
716,15,13303
810,15,13313
754,15,13319
657,15,13318
794,15,13312
760,15,13303
888,15,13312
543,15,13303
785,15,13326
301,15,13318
667,15,13313
471,15,13312
125,15,13413
864,15,13312
182,15,13413
483,15,13319
919,15,13326
48,15,13408
889,15,13310
