time_block,cost
0,0.09920000000000001
1,0.09920000000000001
2,0.09920000000000001
3,0.09920000000000001
4,0.09920000000000001
5,0.09920000000000001
6,0.09920000000000001
7,0.09920000000000001
8,0.09920000000000001
9,0.09920000000000001
10,0.09920000000000001
11,0.09920000000000001
12,0.09920000000000001
13,0.09920000000000001
14,0.09920000000000001
15,0.09920000000000001
16,0.09920000000000001
17,0.09920000000000001
18,0.09920000000000001
19,0.09920000000000001
20,0.09920000000000001
21,0.09920000000000001
22,0.09920000000000001
23,0.09920000000000001
24,0.09920000000000001
25,0.09920000000000001
26,0.09920000000000001
