time_block,cost
0,0.030077177622996679
1,0.030276963944993115
2,0.030889406158072008
3,0.032555771866632693
4,0.036571871996728483
5,0.045121719022505925
6,0.061135675330188766
7,0.087366779968100633
8,0.12458183036498156
9,0.16954041582490151
10,0.21422025066713338
11,0.24763051138633746
12,0.26006325169285593
13,0.24763051138633746
14,0.21422025066713338
15,0.16954041582490151
16,0.12458183036498156
17,0.087366779968100633
18,0.061135675330188766
19,0.045121719022505925
20,0.036571871996728483
21,0.032555771866632693
22,0.030889406158072008
23,0.030276963944993115
24,0.030077177622996679
25,0.030077177622996679
26,0.030077177622996679
