time_block,cost
0,-0.039045644754006653
1,-0.038646072110013779
2,-0.037421187683855994
3,-0.034088456266734624
4,-0.026056256006543044
5,-0.0089565619549881598
6,0.023071350660377521
7,0.075533559936201256
8,0.14996366072996312
9,0.23988083164980301
10,0.32924050133426674
11,0.39606102277267491
12,0.42092650338571186
13,0.39606102277267491
14,0.32924050133426674
15,0.23988083164980301
16,0.14996366072996312
17,0.075533559936201256
18,0.023071350660377521
19,-0.0089565619549881598
20,-0.026056256006543044
21,-0.034088456266734624
22,-0.037421187683855994
23,-0.038646072110013779
24,-0.039045644754006653
25,-0.039045644754006653
26,-0.039045644754006653
