time_block,cost
0,0.081919294405749174
1,0.08196924098624829
2,0.08212235153951801
3,0.082538942966658174
4,0.083542967999182122
5,0.085680429755626494
6,0.089683918832547199
7,0.096241694992025173
8,0.1055454575912454
9,0.11678510395622538
10,0.12795506266678336
11,0.13630762784658437
12,0.13941581292321398
13,0.13630762784658437
14,0.12795506266678336
15,0.11678510395622538
16,0.1055454575912454
17,0.096241694992025173
18,0.089683918832547199
19,0.085680429755626494
20,0.083542967999182122
21,0.082538942966658174
22,0.08212235153951801
23,0.08196924098624829
24,0.081919294405749174
25,0.081919294405749174
26,0.081919294405749174
