source_commit,cell_id,scale,selection_replicate,target_fleet_role,target_fleet,trip_count,duty_count,relative_path,instance_file_sha256,duty_set_sha256,duties_json,generator_seed,generator_family,input_validation_scope,study_role,trip_size_stratum_within_scale,direct_compatibility_density_stratum,coarse_representability_stratum,deadhead_density,station_only_bridge_fraction,representable_fraction_soc15_b10,representable_fraction_soc1_b5,service_kwh_per_trip,service_kwh_per_duty,layover_slack_median_min,known_duty_missing_direct_leg_count
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k02_s1,2,1,GIRO_duty_count_comparator_not_assumed_optimum,2,47,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r1.csv,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,25aaf2e6bcda966862fc98df1fe8570171f854b0e57b6bed2dad2c82df3dc721,"[""13310"",""13316m""]",20260803,pair_union_k2_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,middle,high,low,0.13200379867046533,0.8613485280151947,0,1,16.52472326,388.33099661,3,1
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k02_s2,2,2,GIRO_duty_count_comparator_not_assumed_optimum,2,29,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r2.csv,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,af3f0c57a8a89e18bae15173ee7f7aab08994513324820a7dd70bd3d4adc1e31,"[""13406"",""13413""]",20260803,pair_union_k2_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,low,middle,middle,0.10362694300518134,0.8730569948186528,0.5,1,42.12827562068965,610.8599965,8,1
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k02_s3,2,3,GIRO_duty_count_comparator_not_assumed_optimum,2,56,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r3.csv,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,f8a61c3cf8fa6d83e4846130ef81698858976e5e32c1e44e3c4a9f420b1c7ec6,"[""13305"",""13322""]",20260803,pair_union_k2_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,high,high,low,0.15103127079174983,0.8369926813040586,0,1,14.809214188214286,414.65799727,2,0
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k02_s4,2,4,GIRO_duty_count_comparator_not_assumed_optimum,2,39,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r4.csv,62d819d26255fe4daf70d26793bea3dfb072fa74ecfc3b21cad2ef4f8e1bea61,ff080feeafeeffb46cc24d8d9f8f813f9159405ad290029901e7a7e3f930e0ad,"[""13319"",""13414""]",20260803,pair_union_k2_seed20260803,independently_validated_12_checks,small_anchor,middle,low,high,0.09116022099447514,0.893646408839779,0.5,1,24.77005111153846,483.015996675,6.5,1
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k02_s5,2,5,GIRO_duty_count_comparator_not_assumed_optimum,2,30,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r5.csv,64e59a7e8b7e675aceea96dcf33a2e2120a204a87f0755c083413b253d0cb225,c31847b27e3d66b54709543535bdcfad11e8d03f22190d22fb7cdca700c075fb,"[""13321"",""13323""]",20260803,pair_union_k2_seed20260803,independently_validated_12_checks,small_anchor,low,middle,high,0.11556603773584906,0.8820754716981132,0.5,1,18.834133259999998,282.5119989,3,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k02_s6,2,6,GIRO_duty_count_comparator_not_assumed_optimum,2,83,2,data/scale_ladder/instances/Practice_Custom_DutyUnion_k02_r6.csv,6fee11f84d907aff9b17429280faf8f74aae0e5f4d1721f9dd79346dce74b4ca,71a659ed15d5cdae694b5bc1bc981afb8ddd45e9c0b8b981ab41b7f8f65d054c,"[""13312"",""13317""]",20260803,pair_union_k2_seed20260803,independently_validated_12_checks,small_anchor,high,low,middle,0.0972263644497465,0.8953176260065613,0,1,15.652674574457832,649.58599484,1,1
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k03_s1,3,1,GIRO_duty_count_comparator_not_assumed_optimum,3,61,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r1.csv,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,9b7646d91830fb166cefba518ca36d6d897b6b54300cd29e9fe6c7e3ac098dee,"[""13310"",""13316m"",""13406""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,middle,middle,middle,0.08633504859919955,0.8959405374499714,0.3333333333333333,1,22.397901470819672,455.42399657333334,4,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k03_s2,3,2,GIRO_duty_count_comparator_not_assumed_optimum,3,71,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r2.csv,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,110721c8770a61e08b1b8670f6a000cb1f329b05608c9e338646e6702c380a5c,"[""13305"",""13322"",""13413""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,middle,high,low,0.1009212730318258,0.878140703517588,0,1,20.58346466253521,487.1419970133333,4,0
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k03_s3,3,3,GIRO_duty_count_comparator_not_assumed_optimum,3,47,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r3.csv,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,f23945a8c392cb2ddb8b8aac7b82f0510ea785e094ae8542e8562013598dbc01,"[""13319"",""13323"",""13414""]",20260803,small_3_5_8_13_per6_seed20260803,legacy_manifest_and_preflight_bound,small_anchor,low,low,high,0.0842911877394636,0.8936781609195402,0.6666666666666666,1,23.904744526595742,374.50766425,5,2
ff7fb2ba93cf13a31171e1e4aeb2d28dc8aeee20,k03_s4,3,4,GIRO_duty_count_comparator_not_assumed_optimum,3,105,3,data/scale_ladder/instances/Practice_Custom_DutyUnion_k03_r4.csv,3e94695d03f9947d7c0d69c212936d31fa1acca1bc2508b549500cd1ab89d0de,33afae70500f38bd9562d1ac53b3ffc1fb51d9db47f1e665bb545e75ffa84d1b,"[""13312"",""13317"",""13321""]",20260803,small_3_5_8_13_per6_seed20260803,independently_validated_12_checks,small_anchor,high,middle,low,0.09435377977865315,0.8968298630650909,0,1,16.254333219809524,568.9016626933334,3,2
