canonical_id,kind,source_branch,source_local_label,title,assigned_utc
B0010,B,cursor/ladder-lite-20260819-2969,B0010 (honored as allocated),LL_BUDGET_OVERRIDE_S initially retained the normal 60-second CG allocation cushion,2026-08-21
B0011,B,cursor/ladder-lite-20260819-2969,B0011 (honored as allocated),Correction to B0008: checkpoint signal wait is now resilient,2026-08-21
B0012,B,cursor/ladder-lite-20260819-2969,B0012 (honored as allocated),Correction to B0009: inherited Python environment is sanitized,2026-08-21
B0100,B,cursor/ladder-lite-20260819-2969,LOCAL-1 (ex-branch B0023),Correction to B0022: diversify-rounds scales; equal endpoints indicate saturation,2026-08-21
B0101,B,cursor/ladder-lite-20260819-2969,ex-branch B0024,Greedy warm-pool startup rejected plan-declared 240 kWh physics,2026-08-21
B0102,B,cursor/ladder-lite-20260819-2969,LOCAL-2 (ex-branch B0025),"Correction to B0024: greedy exposed an unsupported frozen grid, not an algorithm regression",2026-08-21
B0103,B,cursor/ladder-lite-20260819-2969,LOCAL-3 (ex-branch B0026),A chained analysis assumed target_pool_feasibility.py existed at 6d02f91,2026-08-21
B0104,B,cursor/fixed-duty-charging-2969-b22e,LOCAL-2 (ex-branch B0023),Station-only waypoints are ambiguous in the legacy charging-stop replay format,2026-08-21
B0105,B,cursor/event-based-pricer-2969,ex-branch B0031,Event-time columns cannot pass realize_expanded_path unchanged,2026-08-21
B0106,B,cursor/event-based-pricer-2969,LOCAL-4 (ex-branch B0032),Event k_best_routes returns at most one shortest prefix per sink predecessor,2026-08-21
B0107,B,cursor/event-based-pricer-2969,ex-branch B0033,Event report incorrectly claimed duty 13411 passed all five grid gates,2026-08-21
B0108,B,cursor/branch-and-price-experiment-2969-1451,ex-branch B0031,"Exact-CG status omitted DAG size, per-iteration master/pricing cost, certificate time, and peak RSS",2026-08-21
B0109,B,cursor/branch-and-price-experiment-2969-1451,ex-branch B0032,Correction to B0031: resolution-cost status instrumentation is locally validated,2026-08-21
B0110,B,cursor/branch-and-price-experiment-2969-1451,ex-branch B0033,HiGHS LP time_limit does not bound model loading and presolve wall time on multi-million-variable arc-flow models,2026-08-21
