cell_id,scale,selection_replicate,sample_family,family_replicate,selection_role,nested_chain_id,nested_parent_cell_id,candidate_rank,candidate_seed,relative_path,instance_file_sha256,duties_json,duty_set_sha256,target_fleet,known_partition_continuous_physical_upper_bound,known_duty_certificate_set_sha256,trip_count,peak_concurrency_lb,direct_compatibility_density,service_kwh_total,service_kwh_per_duty,duty_trip_count_max,duty_trip_count_cv,scheduled_intertrip_gap_median_min,service_span_min
k09_p1,9,1,probability,1,fixed_seed_probability_1,nested_probability_1,,1,20260904001,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_p01_20260904.csv,9bf82e7707f52cad1513b770af6883663ffd77fd16a37119a72b12c81ec38569,"[""13310"",""13312"",""13313"",""13319"",""13324muw"",""13404"",""13408"",""13409"",""13413""]",d72091d5a2de641cb88c043e0fb1c6ba363aed7fd8229478170c95ceb5b772e1,9,True,d470825935d3c0f34d324dd29c6ac47b5a73ebafc7784060b517f9d17c0f6bf6,211,9,0.051771609118,5084.47595559,564.941772843,46,0.462079232,6.0,1254
k09_p2,9,2,probability,2,fixed_seed_probability_2,nested_probability_2,,2,20260904002,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_p02_20260904.csv,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,"[""13302"",""13307"",""13310"",""13311"",""13312"",""13320"",""13321"",""13324t"",""13406""]",3748e7480f9d01e0e8a2ab6872c3090ddc97ce95fba94dd5d57629904e9e1de2,9,True,69063f8de67ee66dbcb3b602668c0b0b96c2ce62f8f9fff0c6e3233afdece06d,219,9,0.073897197436,3994.86596003,443.873995559,50,0.538270759,3.0,1257
k09_p3,9,3,probability,3,fixed_seed_probability_3,nested_probability_3,,3,20260904003,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_p03_20260904.csv,7d05fbff2b52469acf4b11cdfb7c3f1171b76ea1b965dc150e3c11c96982a48c,"[""13301"",""13304"",""13307"",""13309"",""13316uwt"",""13321"",""13323"",""13324t"",""13414""]",d6df6578df4cfd19db9bea36056e9281aa2f990d8efac1a8c655e4273bce4297,9,True,43653a0ff327386e452e16ad7ac7c205ab93300f98040a6f4c6721d820cafcbc,191,9,0.070928630477,3529.92497799,392.213886443,37,0.437979317,3.0,1257
k09_p4,9,4,probability,4,fixed_seed_probability_4,nested_probability_4,,4,20260904004,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_p04_20260904.csv,ae3b84074c0564367fbdf95a6b45e19f6d1c8a3e8e51c22bc9eb8bbec7966cc0,"[""13307"",""13310"",""13311"",""13312"",""13313"",""13322"",""13406"",""13410"",""13414""]",5e6b881551643371ed1e8df1342cdb734ac2d44003041b90125778603bed6c43,9,True,c987942a4755782d94bfcb633ae955abb0c08da1adca37d1bfd7f0c2af4bee4f,203,9,0.064429595669,4419.5139574,491.057106378,46,0.499896857,4.0,1243
k09_p5,9,5,probability,5,fixed_seed_probability_5,nested_probability_5,,5,20260904005,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_p05_20260904.csv,1404e67b125af0141372b16603d127d8c7666c5d57320b4c6509ca7767f4043b,"[""13317"",""13319"",""13320"",""13322"",""13402"",""13404"",""13407"",""13408"",""13410""]",afafb3c9003b4caf5a7e184d9b91c8b920c913c78beb02e5893489b230542c44,9,True,760b5a29c7ce8d7b5e26c149424001233c922209844aed1fd6a4d4935d71f3a2,183,9,0.045036930283,4941.90696877,549.100774308,37,0.374546218,7.0,1283
k09_p6,9,6,probability,6,fixed_seed_probability_6,nested_probability_6,,6,20260904006,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_p06_20260904.csv,a7ed07ea5cd28d6b32d84103fed4fd38f09f7f87b5ad46f29ad25d0af802c61c,"[""13302"",""13307"",""13309"",""13320"",""13324t"",""13401"",""13407"",""13408"",""13409""]",c3de4472531444f564c0079925bdcf71ae893342195c7dec41683529c873248e,9,True,8417ed01c7b95c709f3ce509d3089cfb64208940406bea9167cb7451936bfb2c,178,9,0.051037897543,4395.82796381,488.425329312,50,0.561910101,6.0,1278
k09_xgap,9,7,structural,4,tight_gap,,,184,2026090409,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_xgap_20260904.csv,d7180996c95323799e9d8e042e61467144cb6edcd95aa07e56a1e62402aad2c2,"[""13301"",""13303"",""13304"",""13307"",""13310"",""13313"",""13322"",""13324t"",""13408""]",5732f8aadb30610dc7a00d37fc790b8b475093b11d81b84b8fb5da450345f2f4,9,True,0efd7da88f4d9b8d672c76a1264b903d8a930ca1d6cc0a129028b3d2785e8201,258,9,0.075347630682,4359.99196315,484.443551461,54,0.446729598,2.0,1257
k09_xenergy,9,8,structural,3,energy_heavy,,,221,2026090409,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_xenergy_20260904.csv,626ed50972878c8bd18be89cb01876c6af56bff8e37872870989a31b67a3aaa3,"[""13303"",""13325"",""13401"",""13402"",""13403"",""13405"",""13409"",""13412"",""13414""]",b4c0bdbe29e27ec13227b2ddc7bbf70eebef08f665ca2971110cf089043ccbbe,9,True,cc248ac51f5c6fc92012af574edf4c1135ac3e45c3c5b242350c0cab62cad721,196,9,0.043275771847,5605.1999642,622.799996022,54,0.661457505,7.0,1275
k09_xtrip,9,9,structural,2,trip_heavy,,,289,2026090409,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_xtrip_20260904.csv,ea4c1e7a5d7e6b802f13cbad60d029b75017f2aaf952c48af2b257421c5bba7e,"[""13301"",""13302"",""13303"",""13304"",""13308"",""13312"",""13321"",""13326"",""13403""]",5c287b5756039de6fac6de46a9bb82c6e36435b1c98a63877b4a1b6b9f2ecfa0,9,True,78ef194c81883aa3647ae2eb6da979a04300ac8fe1fad573a79c0fade03c7f27,311,9,0.06984752619,5236.82796343,581.869773714,54,0.377591096,3.0,1260
k09_xlight,9,10,structural,1,trip_light,,,349,2026090409,data/scale_ladder/instances/threshold_9_15_20260904/Practice_Custom_DutyUnion_k09_xlight_20260904.csv,9373820137ecf74b08e590db56109982b3ea0013ef410992b4b471b54845640f,"[""13311"",""13320"",""13324t"",""13326"",""13402"",""13406"",""13408"",""13412"",""13413""]",5faa4437f6380d6fd33cc9065346f70f01f0a0a5c7e47e4b52a1ab79206574df,9,True,3c7f4020c73d6d15a45ece45e31af5dfad32b41acd8ac73fb447bcea1aef37b0,141,9,0.050861195542,4230.28497016,470.031663351,21,0.170212766,7.0,1223
