time_block,cost
0,0.036586242838337016
1,0.045154785982579
2,0.061203760323135625
3,0.08749222503290463
4,0.12478865431162828
5,0.16984555159364548
6,0.21462308870852245
7,0.24810640830123085
8,0.2605663355252355
9,0.24810640830123085
10,0.21462308870852245
11,0.16984555159364548
12,0.12478865431162828
13,0.08749222503290463
14,0.061203760323135625
15,0.045154785982579
16,0.036586242838337016
17,0.03256136062318506
18,0.030891351039991452
19,0.030277569587492968
20,0.030077346388821147
21,0.0300192864928935
22,0.030004303398248028
23,0.03000085924076566
24,0.03000015351940047
