time_block,cost
0,0.030000003556211716
1,0.030000024857022266
2,0.030000155473240843
3,0.03000087017631709
4,0.030004358167568513
5,0.03001953195195851
6,0.03007833077579014
7,0.030281102213761384
8,0.030902695258667186
9,0.03259395904256549
10,0.03667006590653056
11,0.045347660841593015
12,0.06160089037036626
13,0.08822392819323763
14,0.1259950288759078
15,0.17162536498582184
16,0.21697278551363217
17,0.25088224708902435
18,0.26350075172279364
19,0.25088224708902435
20,0.21697278551363217
21,0.17162536498582184
22,0.1259950288759078
23,0.08822392819323763
24,0.06160089037036626
