cell_id,instance_id,tariff_id,duty_id,certified,scope,certificate_sha256,continuous_cost_optimality_certified
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p0,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p25,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p25,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p5,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_0p5,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_0p5,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_1p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_1p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_1p0,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_2p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
TIER1_FIXED_GIRO_OPTIMIZED_CHARGING-peak12_alpha_2p0,SYNTHETIC-k2-NOT-SCIENTIFIC,peak12_alpha_2p0,,True,synthetic_discretized_fixed_duty,0197c22ced32906dee3b872fed96629c11ec5eea08851249fc893925e1c4ffaa,False
