arm,route_index,duty13309_counterpart,battery_kwh,min_soc_kwh,terminal_kwh,frozen_energy_valid,scope
w6_k05_fee0,0,False,240.0,0.0,2.0,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,0,False,239.01,-0.9900000000000091,1.009999999999991,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,0,False,236.44,-3.5600000000000023,-1.5600000000000023,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,1,False,240.0,0.31700039999998353,2.1999999999999886,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,1,False,239.01,-0.6729996000000256,1.2099999999999795,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,1,False,236.44,-3.2429996000000187,-1.3600000000000136,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,2,False,240.0,0.0,2.0,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,2,False,239.01,-0.9900000000000091,1.009999999999991,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,2,False,236.44,-3.5600000000000023,-1.5600000000000023,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,3,True,240.0,1.6570006999999976,1.6570006999999976,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,3,True,239.01,0.6670006999999885,0.6670006999999885,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,3,True,236.44,-1.9029993000000047,-1.9029993000000047,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,4,False,240.0,3.0060000999999943,3.0060000999999943,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,4,False,239.01,2.016000099999985,2.016000099999985,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee0,4,False,236.44,-0.553999900000008,-0.553999900000008,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,0,False,240.0,3.540001000000075,3.540001000000075,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,0,False,239.01,2.5500010000000657,2.5500010000000657,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,0,False,236.44,-0.01999899999992749,-0.01999899999992749,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,1,False,240.0,1.540001000000018,3.5400010000000464,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,1,False,239.01,0.5500010000000088,2.5500010000000373,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,1,False,236.44,-2.0199989999999843,-0.019998999999955913,False,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,2,True,240.0,13.521000299999997,13.521000299999997,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,2,True,239.01,12.531000299999988,12.531000299999988,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,2,True,236.44,9.961000299999995,9.961000299999995,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,3,False,240.0,7.250001300000008,7.250001300000008,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,3,False,239.01,6.260001299999999,6.260001299999999,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,3,False,236.44,3.690001300000006,3.690001300000006,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,4,False,240.0,8.957002130000035,8.957002130000035,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,4,False,239.01,7.967002130000026,7.967002130000026,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
w6_k05_fee5,4,False,236.44,5.397002130000033,5.397002130000033,True,"capacity-only, preserved zero reserve/no terminal floor, recorded charge kWh fixed"
