time_block,cost
0,0.030077177622996682
1,0.030276963944993119
2,0.030889406158072012
3,0.0325557718666327
4,0.036571871996728483
5,0.045121719022505925
6,0.061135675330188766
7,0.087366779968100633
8,0.12458183036498156
9,0.16954041582490151
10,0.21422025066713338
11,0.24763051138633746
12,0.26006325169285593
13,0.24763051138633746
14,0.21422025066713338
15,0.16954041582490151
16,0.12458183036498156
17,0.087366779968100633
18,0.061135675330188766
19,0.045121719022505925
20,0.036571871996728483
21,0.0325557718666327
22,0.030889406158072012
23,0.030276963944993119
24,0.030077177622996682
25,0.030077177622996682
26,0.030077177622996682
