job,name,state,elapsed,MaxRSS,ReqMem,exit,node,start_local,end_local,cpus
661616_0,drX_graphs,COMPLETED,12:01:24,,96G,0:0,garg-cpu-01,2026-09-21T14:39:41,2026-09-22T02:41:05,2
661616_1,drX_graphs,RUNNING,13:18:03,,96G,0:0,kim-cpu-02,2026-09-21T14:39:41,Unknown,2
661616_2,drX_graphs,RUNNING,13:18:03,,96G,0:0,sablab-cpu-01,2026-09-21T14:39:41,Unknown,2
661616_3,drX_graphs,RUNNING,13:17:03,,96G,0:0,kim-cpu-05,2026-09-21T14:40:41,Unknown,2
661616_4,drX_graphs,COMPLETED,11:59:08,,96G,0:0,petro-cpu-01,2026-09-21T14:40:41,2026-09-22T02:39:49,2
661616_5,drX_graphs,RUNNING,13:16:03,,96G,0:0,cliprelabs-cpu-01,2026-09-21T14:41:41,Unknown,2
661616_6,drX_graphs,PREEMPTED,00:04:07,,96G,0:0,yin-cpu-01,2026-09-21T14:41:41,2026-09-21T14:45:48,2
661616_7,drX_graphs,RUNNING,13:14:03,,96G,0:0,kim-cpu-02,2026-09-21T14:43:41,Unknown,2
661616_8,drX_graphs,RUNNING,13:13:02,,96G,0:0,sablab-cpu-01,2026-09-21T14:44:42,Unknown,2
661616_9,drX_graphs,RUNNING,13:13:02,,96G,0:0,sablab-cpu-01,2026-09-21T14:44:42,Unknown,2
661616_10,drX_graphs,RUNNING,13:11:56,,96G,0:0,unicorn-cpu-73,2026-09-21T14:45:48,Unknown,2
661616_11,drX_graphs,RUNNING,13:11:56,,96G,0:0,lodi-cpu-01,2026-09-21T14:45:48,Unknown,2
661616_12,drX_graphs,RUNNING,13:11:56,,96G,0:0,dean-cpu-01,2026-09-21T14:45:48,Unknown,2
661616_13,drX_graphs,RUNNING,13:11:56,,96G,0:0,dean-cpu-01,2026-09-21T14:45:48,Unknown,2
661616_14,drX_graphs,PREEMPTED,00:09:31,,96G,0:0,lin-cpu-01,2026-09-21T14:45:48,2026-09-21T14:55:19,2
661616_15,drX_graphs,RUNNING,13:10:58,,96G,0:0,sonic-cpu-01,2026-09-21T14:46:46,Unknown,2
661616_16,drX_graphs,COMPLETED,09:36:02,,96G,0:0,yin-cpu-01,2026-09-21T14:46:46,2026-09-22T00:22:48,2
661616_17,drX_graphs,RUNNING,13:09:58,,96G,0:0,unicorn-cpu-87,2026-09-21T14:47:46,Unknown,2
661616_18,drX_graphs,RUNNING,13:09:58,,96G,0:0,jingjie-cpu-20,2026-09-21T14:47:46,Unknown,2
661616_19,drX_graphs,RUNNING,13:08:58,,96G,0:0,unicorn-cpu-76,2026-09-21T14:48:46,Unknown,2
